state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
MD,2020-12-03,"8,504",84.09,"10,113","2,018",19.95,"1,046",79.36,"1,318"
MI,2020-12-03,"17,222",79.51,"21,662","4,220",19.48,"2,290",83.98,"2,727"
AL,2020-12-04,"10,888",77.02,"14,137","1,944",13.75,"1,338",90.62,"1,476"
AZ,2020-12-04,"10,688",77.61,"13,771","2,961",21.53,"1,443",70.8,"2,038"
CA,2020-12-04,"48,258",76.77,"62,862","10,232",16.28,"5,938",79.88,"7,433"
CT,2020-12-04,"6,266",76.95,"8,143","1,328",16.31,622,56.44,"1,102"
DC,2020-12-04,"2,449",83.16,"2,945",261,8.86,282,82.46,342
GA,2020-12-04,"15,702",82.54,"19,024","2,694",14.16,"2,284",86.42,"2,643"
ID,2020-12-04,"1,864",59.73,"3,120",458,14.66,222,77.62,286
IN,2020-12-04,"11,498",69.21,"16,614","3,211",19.33,"1,731",79.55,"2,176"
KS,2020-12-04,"4,827",60.85,"7,932","1,202",15.15,684,85.33,801
LA,2020-12-04,"8,894",70.18,"12,674","1,222",9.82,"1,368",75.62,"1,809"
MD,2020-12-04,"8,514",84.15,"10,118","2,017",19.93,"1,046",78.82,"1,327"
MI,2020-12-04,"17,332",80.03,"21,657","4,207",19.43,"2,287",82.89,"2,759"
AL,2020-12-05,"10,553",74.8,"14,108","1,962",13.91,"1,302",88.69,"1,468"
AZ,2020-12-05,"10,425",75.76,"13,761","2,996",21.79,"1,445",71.22,"2,029"
CA,2020-12-05,"46,982",75.21,"62,468","10,598",16.97,"5,939",81.16,"7,318"
CT,2020-12-05,"6,025",73.99,"8,143","1,339",16.44,642,58.2,"1,103"
DC,2020-12-05,"2,374",81.41,"2,916",216,7.41,272,80.47,338
GA,2020-12-05,"15,344",80.64,"19,028","2,747",14.44,"2,300",86.89,"2,647"
ID,2020-12-05,"1,794",57.63,"3,113",440,14.13,219,75.78,289
IN,2020-12-05,"11,249",67.75,"16,603","3,153",18.99,"1,703",78.3,"2,175"
KS,2020-12-05,"4,612",58.63,"7,866","1,156",14.7,634,77.98,813
LA,2020-12-05,"8,619",68.58,"12,568","1,217",9.86,"1,365",76.6,"1,782"
MD,2020-12-05,"8,220",81.27,"10,114","1,988",19.66,"1,026",77.79,"1,319"
MI,2020-12-05,"16,800",77.67,"21,630","4,086",18.89,"2,254",82.44,"2,734"
AL,2020-12-06,"10,369",73.33,"14,140","2,021",14.29,"1,282",87.54,"1,465"
AZ,2020-12-06,"10,117",74.46,"13,587","3,076",22.67,"1,440",70.88,"2,031"
CA,2020-12-06,"45,825",74.55,"61,468","10,922",17.77,"5,834",79.59,"7,331"
CT,2020-12-06,"5,779",71.08,"8,130","1,361",16.74,610,55.21,"1,104"
DC,2020-12-06,"2,330",81.38,"2,863",229,8.0,266,78.24,340
GA,2020-12-06,"14,939",78.8,"18,958","2,836",14.96,"2,276",86.13,"2,642"
ID,2020-12-06,"1,724",55.54,"3,104",437,14.08,203,71.73,283
IN,2020-12-06,"11,039",66.56,"16,585","3,193",19.25,"1,704",78.02,"2,184"
KS,2020-12-06,"4,492",57.6,"7,799","1,160",14.87,660,82.6,799
LA,2020-12-06,"8,419",67.06,"12,555","1,259",10.21,"1,344",74.92,"1,794"
MD,2020-12-06,"8,041",79.86,"10,069","1,932",19.19,"1,042",78.23,"1,332"
MI,2020-12-06,"16,170",75.69,"21,363","4,082",19.11,"2,198",81.87,"2,684"
AL,2020-12-07,"10,496",74.11,"14,163","2,095",14.79,"1,315",89.21,"1,474"
AZ,2020-12-07,"10,058",74.13,"13,568","3,162",23.34,"1,406",69.64,"2,019"
CA,2020-12-07,"46,203",75.36,"61,309","11,401",18.6,"5,847",80.28,"7,283"
CT,2020-12-07,"5,808",71.49,"8,124","1,388",17.09,611,55.34,"1,104"
DC,2020-12-07,"2,318",80.15,"2,892",255,8.82,269,82.77,325
GA,2020-12-07,"15,083",79.81,"18,899","2,934",15.52,"2,279",86.2,"2,644"
ID,2020-12-07,"1,761",56.95,"3,092",444,14.38,193,67.96,284
IN,2020-12-07,"11,148",67.33,"16,557","3,231",19.51,"1,718",78.96,"2,176"
KS,2020-12-07,"4,500",57.56,"7,819","1,172",14.98,660,81.68,808
LA,2020-12-07,"8,554",68.06,"12,567","1,354",10.97,"1,350",75.67,"1,784"
MD,2020-12-07,"8,205",80.82,"10,152","2,028",19.98,"1,048",78.27,"1,339"
MI,2020-12-07,"16,042",74.87,"21,426","4,165",19.44,"2,145",80.19,"2,675"
AL,2020-12-08,"10,957",77.6,"14,120","2,178",15.42,"1,331",90.98,"1,463"
AZ,2020-12-08,"10,685",77.05,"13,867","3,262",23.56,"1,462",69.89,"2,092"
CA,2020-12-08,"47,900",76.9,"62,289","11,860",19.04,"6,070",81.62,"7,438"
CT,2020-12-08,"6,145",75.63,"8,125","1,456",17.92,639,57.88,"1,104"
DC,2020-12-08,"2,373",81.6,"2,908",269,9.25,289,86.53,334
GA,2020-12-08,"15,606",82.21,"18,983","2,962",15.6,"2,327",87.78,"2,651"
ID,2020-12-08,"1,827",58.69,"3,113",432,13.88,202,70.63,286
IN,2020-12-08,"11,580",69.88,"16,571","3,212",19.38,"1,718",79.02,"2,174"
KS,2020-12-08,"4,665",59.36,"7,859","1,190",15.14,678,82.18,825
LA,2020-12-08,"8,976",71.17,"12,612","1,376",11.11,"1,402",77.89,"1,800"
MD,2020-12-08,"8,463",83.06,"10,189","2,108",20.69,"1,047",79.26,"1,321"
MI,2020-12-08,"16,815",78.35,"21,461","4,120",19.2,"2,255",82.39,"2,737"
AL,2020-12-09,"11,131",78.7,"14,143","2,196",15.53,"1,326",91.96,"1,442"
AZ,2020-12-09,"10,791",78.06,"13,824","3,371",24.42,"1,491",70.83,"2,105"
CA,2020-12-09,"49,006",78.27,"62,608","12,373",19.76,"6,204",83.5,"7,430"
CT,2020-12-09,"6,187",76.1,"8,130","1,389",17.08,653,59.15,"1,104"
DC,2020-12-09,"2,467",84.34,"2,925",258,8.82,296,87.83,337
GA,2020-12-09,"16,007",83.78,"19,106","3,048",15.96,"2,334",88.24,"2,645"
ID,2020-12-09,"1,836",58.77,"3,124",435,13.92,219,75.78,289
IN,2020-12-09,"11,685",70.45,"16,586","3,203",19.31,"1,732",79.77,"2,172"
KS,2020-12-09,"4,945",62.79,"7,876","1,231",15.63,691,84.79,815
LA,2020-12-09,"9,157",72.22,"12,679","1,371",11.01,"1,417",78.5,"1,805"
MD,2020-12-09,"8,501",83.54,"10,176","2,063",20.27,"1,047",77.61,"1,349"
MI,2020-12-09,"17,260",79.44,"21,726","3,962",18.24,"2,274",83.11,"2,736"
AL,2020-12-10,"11,087",78.28,"14,163","2,236",15.79,"1,317",91.71,"1,436"
AZ,2020-12-10,"11,016",78.78,"13,983","3,475",24.89,"1,511",72.02,"2,098"
CA,2020-12-10,"49,189",77.64,"63,355","12,887",20.34,"6,335",84.29,"7,515"
CT,2020-12-10,"6,238",76.59,"8,145","1,363",16.73,651,59.07,"1,102"
DC,2020-12-10,"2,503",84.7,"2,955",269,9.1,281,83.63,336
GA,2020-12-10,"15,890",83.59,"19,010","3,121",16.42,"2,310",87.97,"2,626"
ID,2020-12-10,"1,839",59.07,"3,113",433,13.92,218,75.69,288
IN,2020-12-10,"11,622",70.1,"16,578","3,178",19.17,"1,719",79.11,"2,173"
KS,2020-12-10,"4,953",62.81,"7,886","1,216",15.42,677,83.17,814
LA,2020-12-10,"9,203",72.68,"12,663","1,387",11.15,"1,412",77.29,"1,827"
MD,2020-12-10,"8,609",84.46,"10,193","2,154",21.13,"1,052",78.92,"1,333"
MI,2020-12-10,"16,170",77.88,"20,763","3,860",18.59,"2,171",84.02,"2,584"
AL,2020-12-11,"10,996",78.01,"14,096","2,244",15.92,"1,308",91.73,"1,426"
AZ,2020-12-11,"10,995",78.3,"14,043","3,523",25.12,"1,479",70.43,"2,100"
CA,2020-12-11,"48,846",77.07,"63,380","13,388",21.12,"6,307",84.86,"7,433"
CT,2020-12-11,"6,260",76.9,"8,140","1,378",16.93,649,58.63,"1,107"
DC,2020-12-11,"2,480",84.99,"2,918",282,9.66,285,85.07,335
GA,2020-12-11,"15,728",82.84,"18,985","3,162",16.66,"2,309",88.16,"2,619"
ID,2020-12-11,"1,862",59.97,"3,105",434,13.97,224,77.51,289
IN,2020-12-11,"11,427",69.29,"16,492","3,123",18.94,"1,684",77.82,"2,164"
KS,2020-12-11,"4,898",62.04,"7,895","1,173",14.86,694,84.94,817
LA,2020-12-11,"9,108",72.11,"12,630","1,377",11.1,"1,422",78.0,"1,823"
MD,2020-12-11,"8,500",83.89,"10,132","2,118",20.9,"1,063",79.8,"1,332"
MI,2020-12-11,"16,058",77.84,"20,630","3,873",18.77,"2,147",83.35,"2,576"
AL,2020-12-12,"10,565",75.17,"14,054","2,266",16.12,"1,280",89.95,"1,423"
AZ,2020-12-12,"10,856",77.82,"13,950","3,595",25.81,"1,534",73.01,"2,101"
CA,2020-12-12,"48,129",76.41,"62,984","13,920",22.1,"6,303",84.59,"7,451"
CT,2020-12-12,"6,256",76.86,"8,140","1,375",16.89,649,58.63,"1,107"
DC,2020-12-12,"2,396",82.34,"2,910",282,9.69,281,81.92,343
GA,2020-12-12,"15,417",81.13,"19,004","3,150",16.58,"2,297",87.31,"2,631"
ID,2020-12-12,"1,859",59.77,"3,110",440,14.15,223,76.9,290
IN,2020-12-12,"11,402",68.92,"16,544","3,087",18.66,"1,681",77.64,"2,165"
KS,2020-12-12,"4,870",61.79,"7,881","1,201",15.24,681,83.25,818
LA,2020-12-12,"8,830",68.94,"12,809","1,345",10.84,"1,325",74.69,"1,774"
MD,2020-12-12,"8,414",82.87,"10,153","2,098",20.66,"1,051",79.98,"1,314"
MI,2020-12-12,"15,544",75.5,"20,589","3,756",18.24,"2,184",83.74,"2,608"
AK,2020-11-12,946,65.97,"1,434",123,8.58,78,56.52,138
AR,2020-11-12,"5,539",65.87,"8,409",861,10.24,765,72.17,"1,060"
CO,2020-11-12,"7,089",70.42,"10,067","1,324",13.15,993,75.0,"1,324"
DE,2020-11-12,"1,772",71.05,"2,494",180,7.22,152,87.36,174
FL,2020-11-12,"40,636",78.39,"51,835","4,150",8.17,"4,956",78.75,"6,293"
HI,2020-11-12,"1,761",70.54,"2,481",73,2.94,143,61.11,234
IA,2020-11-12,"5,325",67.8,"7,854","1,252",16.14,568,83.41,681
IL,2020-11-12,"21,102",70.5,"29,933","5,504",18.39,"2,454",64.96,"3,778"
KY,2020-11-12,"8,699",73.4,"11,852","1,388",11.71,"1,170",76.62,"1,527"
MA,2020-11-12,"12,176",69.89,"17,422",683,3.92,"1,026",53.63,"1,913"
ME,2020-11-12,"1,961",69.02,"2,841",97,3.41,238,73.46,324
MN,2020-11-12,"8,187",74.69,"10,962","1,605",14.64,794,80.77,983
MO,2020-11-12,"11,692",66.75,"17,516","2,399",13.7,"1,543",79.37,"1,944"
MS,2020-11-12,"5,407",67.13,"8,054",745,9.25,714,79.87,894
MT,2020-11-12,"1,997",69.63,"2,868",429,14.96,176,77.19,228
ND,2020-11-12,"1,629",79.74,"2,043",518,25.35,133,95.68,139
NH,2020-11-12,"1,999",68.65,"2,912",104,3.57,175,62.06,282
NJ,2020-11-12,"14,690",75.93,"19,346","1,968",10.17,"1,451",65.15,"2,227"
NV,2020-11-12,"5,688",77.67,"7,323",976,13.64,682,79.03,863
NY,2020-11-12,"41,173",76.11,"54,096","3,224",5.96,"4,227",61.94,"6,824"
OK,2020-11-12,"7,235",69.42,"10,422","1,193",11.74,893,76.59,"1,166"
PA,2020-11-12,"25,095",77.94,"32,196","2,984",9.36,"3,159",81.52,"3,875"
SC,2020-11-12,"7,922",79.66,"9,945",719,7.23,950,74.98,"1,267"
TN,2020-11-12,"12,831",77.44,"16,570","1,933",12.02,"1,819",80.7,"2,254"
UT,2020-11-12,"3,214",61.59,"5,218",493,9.45,464,74.84,620
VA,2020-11-12,"12,109",70.91,"17,077","1,285",7.52,"1,381",68.16,"2,026"
AK,2020-11-13,930,64.9,"1,433",122,8.51,101,72.14,140
AR,2020-11-13,"5,534",66.35,"8,340",894,10.72,741,73.08,"1,014"
CO,2020-11-13,"6,830",68.03,"10,040","1,332",13.27,929,72.3,"1,285"
DE,2020-11-13,"1,768",71.26,"2,481",179,7.21,150,86.21,174
FL,2020-11-13,"40,662",78.41,"51,856","4,244",8.35,"4,964",79.07,"6,278"
HI,2020-11-13,"1,713",68.62,"2,479",82,3.33,146,61.6,237
IA,2020-11-13,"5,282",67.31,"7,847","1,275",16.45,556,81.81,679
IL,2020-11-13,"20,774",69.44,"29,914","5,340",17.85,"2,437",64.51,"3,778"
KY,2020-11-13,"8,716",73.52,"11,856","1,402",11.83,"1,171",76.59,"1,529"
MA,2020-11-13,"12,115",69.48,"17,437",738,4.23,"1,028",53.74,"1,913"
ME,2020-11-13,"1,941",69.15,"2,807",93,3.31,235,73.44,320
MN,2020-11-13,"8,124",75.77,"10,721","1,662",15.5,781,80.1,975
MO,2020-11-13,"11,558",66.28,"17,437","2,459",14.1,"1,537",78.7,"1,953"
MS,2020-11-13,"5,231",65.33,"8,007",734,9.16,674,79.14,851
MT,2020-11-13,"1,966",69.26,"2,838",454,16.0,177,75.64,234
ND,2020-11-13,"1,628",81.36,"2,001",518,25.89,118,87.41,135
NH,2020-11-13,"1,994",68.5,"2,911",95,3.26,168,59.4,282
NJ,2020-11-13,"14,486",74.65,"19,404","2,076",10.7,"1,466",65.39,"2,242"
NV,2020-11-13,"5,686",77.58,"7,329",992,13.85,698,81.16,860
NY,2020-11-13,"40,519",74.65,"54,276","3,075",5.67,"4,136",60.7,"6,814"
OK,2020-11-13,"7,166",69.02,"10,383","1,203",11.88,890,76.76,"1,160"
PA,2020-11-13,"24,693",76.84,"32,135","3,156",9.92,"3,125",80.98,"3,859"
SC,2020-11-13,"7,762",79.96,"9,707",734,7.57,940,74.54,"1,261"
TN,2020-11-13,"12,508",75.71,"16,521","1,895",11.82,"1,770",79.6,"2,224"
UT,2020-11-13,"3,211",61.51,"5,220",497,9.52,458,73.87,620
VA,2020-11-13,"11,955",70.02,"17,073","1,262",7.39,"1,391",68.69,"2,025"
AK,2020-11-14,924,64.48,"1,433",143,9.98,108,78.26,138
AR,2020-11-14,"5,381",64.87,"8,294",868,10.47,749,75.05,998
CO,2020-11-14,"6,619",65.86,"10,049","1,352",13.45,944,73.38,"1,286"
DE,2020-11-14,"1,713",68.82,"2,489",180,7.23,144,82.76,174
FL,2020-11-14,"39,232",75.97,"51,644","4,191",8.29,"4,751",75.84,"6,265"
HI,2020-11-14,"1,692",67.77,"2,482",93,3.74,143,59.94,238
IA,2020-11-14,"5,050",64.3,"7,854","1,282",16.53,560,82.6,678
IL,2020-11-14,"20,222",67.84,"29,809","5,539",18.58,"2,416",64.05,"3,772"
KY,2020-11-14,"8,602",72.57,"11,853","1,410",11.89,"1,185",77.45,"1,530"
MA,2020-11-14,"11,741",67.39,"17,422",750,4.3,"1,024",53.53,"1,913"
ME,2020-11-14,"1,883",67.15,"2,804",88,3.16,226,69.97,323
MN,2020-11-14,"7,770",73.2,"10,615","1,687",15.89,784,80.25,977
MO,2020-11-14,"11,179",64.79,"17,254","2,410",13.97,"1,495",76.59,"1,952"
MS,2020-11-14,"4,999",62.7,"7,974",729,9.15,665,78.24,850
MT,2020-11-14,"1,968",69.58,"2,829",479,16.93,172,75.11,229
ND,2020-11-14,"1,532",77.54,"1,976",485,24.54,117,90.7,129
NH,2020-11-14,"1,877",64.52,"2,909",85,2.92,154,54.61,282
NJ,2020-11-14,"13,760",72.02,"19,107","2,096",10.97,"1,441",65.01,"2,216"
NV,2020-11-14,"5,666",77.38,"7,322","1,064",14.87,700,81.21,862
NY,2020-11-14,"38,611",71.53,"53,979","3,102",5.75,"4,108",60.34,"6,808"
OK,2020-11-14,"6,776",65.94,"10,276","1,228",12.26,890,76.82,"1,158"
PA,2020-11-14,"23,898",74.55,"32,056","3,232",10.18,"3,078",79.5,"3,872"
SC,2020-11-14,"7,380",76.16,"9,691",709,7.32,938,74.48,"1,260"
TN,2020-11-14,"12,141",73.52,"16,513","1,896",11.83,"1,779",78.81,"2,257"
UT,2020-11-14,"3,040",58.23,"5,221",496,9.5,453,73.06,620
VA,2020-11-14,"11,172",65.41,"17,078","1,230",7.2,"1,314",64.93,"2,023"
AK,2020-11-15,887,62.33,"1,423",145,10.19,95,73.64,129
AR,2020-11-15,"5,103",61.9,"8,245",888,10.78,737,74.0,996
CO,2020-11-15,"6,425",63.83,"10,065","1,387",13.78,916,70.96,"1,290"
DE,2020-11-15,"1,676",68.07,"2,462",186,7.55,151,86.78,174
FL,2020-11-15,"37,914",73.74,"51,415","4,123",8.19,"4,627",73.95,"6,257"
HI,2020-11-15,"1,720",68.97,"2,478",90,3.62,136,58.76,232
IA,2020-11-15,"5,037",63.98,"7,873","1,381",17.78,552,82.02,673
IL,2020-11-15,"19,591",65.86,"29,745","5,743",19.31,"2,354",62.31,"3,778"
KY,2020-11-15,"8,428",71.1,"11,854","1,468",12.39,"1,176",76.83,"1,530"
MA,2020-11-15,"11,353",65.2,"17,412",798,4.58,992,51.77,"1,916"
ME,2020-11-15,"1,844",65.65,"2,808",84,3.01,228,70.65,322
MN,2020-11-15,"7,656",72.83,"10,512","1,804",17.17,767,79.65,963
MO,2020-11-15,"10,615",62.01,"17,117","2,407",14.06,"1,480",75.94,"1,949"
MS,2020-11-15,"4,874",61.06,"7,982",763,9.55,660,78.67,839
MT,2020-11-15,"1,885",67.45,"2,795",485,17.35,165,72.69,227
ND,2020-11-15,"1,509",75.49,"1,999",490,24.49,127,94.07,135
NH,2020-11-15,"1,783",61.31,"2,908",94,3.23,143,50.53,283
NJ,2020-11-15,"13,333",70.37,"18,947","2,206",11.64,"1,426",63.82,"2,235"
NV,2020-11-15,"5,615",76.43,"7,347","1,160",16.16,697,80.02,871
NY,2020-11-15,"37,953",70.52,"53,819","3,122",5.8,"3,981",58.46,"6,810"
OK,2020-11-15,"6,541",63.93,"10,232","1,247",12.5,876,75.72,"1,157"
PA,2020-11-15,"23,050",72.13,"31,957","3,345",10.57,"3,032",78.9,"3,843"
SC,2020-11-15,"7,196",74.55,"9,653",726,7.52,914,72.29,"1,265"
TN,2020-11-15,"11,900",72.2,"16,483","1,952",12.2,"1,735",76.9,"2,256"
UT,2020-11-15,"2,838",54.35,"5,222",505,9.67,451,72.74,620
VA,2020-11-15,"10,968",64.13,"17,103","1,269",7.42,"1,306",64.59,"2,022"
AK,2020-11-16,862,60.96,"1,414",138,9.76,90,67.67,133
AR,2020-11-16,"5,082",61.88,"8,214",909,11.07,739,72.38,"1,021"
CO,2020-11-16,"6,399",63.38,"10,095","1,408",13.95,926,71.25,"1,300"
DE,2020-11-16,"1,616",65.72,"2,459",200,8.13,146,83.91,174
FL,2020-11-16,"38,619",74.84,"51,603","4,327",8.56,"4,654",74.21,"6,271"
HI,2020-11-16,"1,664",66.99,"2,469",90,3.65,133,58.85,226
IA,2020-11-16,"5,157",65.65,"7,855","1,500",19.36,542,80.9,670
IL,2020-11-16,"19,722",66.49,"29,661","5,896",19.88,"2,385",63.07,"3,782"
KY,2020-11-16,"8,220",69.33,"11,855","1,546",13.04,"1,178",76.96,"1,530"
MA,2020-11-16,"11,276",64.69,"17,432",855,4.9,940,49.06,"1,916"
ME,2020-11-16,"1,829",65.27,"2,802",94,3.35,216,67.29,321
MN,2020-11-16,"7,653",72.76,"10,518","1,877",17.85,765,79.36,964
MO,2020-11-16,"10,792",62.72,"17,207","2,516",14.62,"1,494",76.15,"1,962"
MS,2020-11-16,"4,994",62.37,"8,007",836,10.45,663,78.65,843
MT,2020-11-16,"1,900",67.97,"2,796",506,18.1,167,72.93,229
ND,2020-11-16,"1,524",75.48,"2,019",496,24.57,127,92.03,138
NH,2020-11-16,"1,813",64.68,"2,803",106,3.78,165,58.1,284
NJ,2020-11-16,"13,768",71.31,"19,306","2,415",12.51,"1,444",64.21,"2,249"
NV,2020-11-16,"5,646",76.41,"7,389","1,165",16.14,690,78.68,877
NY,2020-11-16,"38,869",72.12,"53,897","3,386",6.28,"3,963",58.12,"6,819"
OK,2020-11-16,"6,689",64.83,"10,318","1,300",12.92,883,76.19,"1,159"
PA,2020-11-16,"23,216",72.61,"31,973","3,595",11.36,"3,054",79.37,"3,847"
SC,2020-11-16,"7,477",77.81,"9,609",770,8.01,935,74.98,"1,247"
TN,2020-11-16,"12,125",73.43,"16,512","2,062",12.87,"1,721",76.32,"2,255"
UT,2020-11-16,"2,802",53.67,"5,221",533,10.21,435,70.16,620
VA,2020-11-16,"11,338",66.34,"17,091","1,329",7.78,"1,347",66.49,"2,026"
AK,2020-11-17,885,62.54,"1,415",149,10.53,98,74.24,132
AR,2020-11-17,"5,448",65.23,"8,352",966,11.57,760,74.0,"1,027"
CO,2020-11-17,"6,858",68.05,"10,078","1,528",15.16,966,73.36,"1,317"
DE,2020-11-17,"1,824",72.61,"2,512",194,7.72,141,81.03,174
FL,2020-11-17,"40,439",78.28,"51,662","4,128",8.16,"5,010",79.04,"6,339"
HI,2020-11-17,"1,631",65.08,"2,506",84,3.35,147,68.37,215
IA,2020-11-17,"5,327",67.35,"7,910","1,530",19.59,568,81.61,696
IL,2020-11-17,"20,410",68.66,"29,726","6,050",20.35,"2,500",65.91,"3,793"
KY,2020-11-17,"8,584",72.41,"11,855","1,576",13.3,"1,197",78.24,"1,530"
MA,2020-11-17,"11,883",68.04,"17,465",881,5.04,"1,008",52.55,"1,918"
ME,2020-11-17,"1,950",69.32,"2,813",99,3.52,236,74.92,315
MN,2020-11-17,"7,846",74.6,"10,518","1,960",18.63,812,84.36,962
MO,2020-11-17,"11,376",65.4,"17,395","2,686",15.44,"1,570",78.89,"1,990"
MS,2020-11-17,"5,308",65.75,"8,072",884,10.95,674,78.83,855
MT,2020-11-17,"1,945",69.14,"2,813",483,17.17,159,71.62,222
ND,2020-11-17,"1,575",79.71,"1,976",472,23.89,124,88.57,140
NH,2020-11-17,"1,913",68.05,"2,811",114,4.06,172,60.99,282
NJ,2020-11-17,"14,466",74.62,"19,387","2,530",13.05,"1,486",65.99,"2,252"
NV,2020-11-17,"5,837",78.63,"7,423","1,235",17.01,706,81.0,871
NY,2020-11-17,"40,334",74.68,"54,007","3,604",6.67,"4,180",60.71,"6,884"
OK,2020-11-17,"7,112",68.56,"10,374","1,333",13.17,899,77.23,"1,164"
PA,2020-11-17,"24,115",76.06,"31,706","3,769",12.01,"3,098",81.07,"3,821"
SC,2020-11-17,"7,852",80.98,"9,696",779,8.03,973,77.47,"1,256"
TN,2020-11-17,"12,519",75.57,"16,567","2,117",13.17,"1,803",80.0,"2,254"
UT,2020-11-17,"3,014",57.67,"5,225",556,10.64,454,72.37,628
VA,2020-11-17,"11,706",68.52,"17,085","1,348",7.89,"1,356",67.0,"2,024"
AK,2020-11-18,932,65.27,"1,428",142,9.94,104,78.2,133
AR,2020-11-18,"5,503",65.82,"8,361",911,10.9,767,75.94,"1,010"
CO,2020-11-18,"6,936",68.51,"10,124","1,591",15.72,976,73.38,"1,330"
DE,2020-11-18,"1,864",73.94,"2,521",201,7.97,149,85.63,174
FL,2020-11-18,"41,028",79.15,"51,837","4,118",8.11,"5,034",79.77,"6,311"
HI,2020-11-18,"1,657",66.07,"2,508",88,3.51,136,62.67,217
IA,2020-11-18,"5,335",67.34,"7,923","1,535",19.63,554,80.06,692
IL,2020-11-18,"20,758",69.75,"29,760","6,100",20.5,"2,518",66.29,"3,798"
KY,2020-11-18,"8,522",71.92,"11,850","1,566",13.22,"1,180",77.07,"1,531"
MA,2020-11-18,"11,980",68.75,"17,426",916,5.26,"1,032",53.64,"1,924"
ME,2020-11-18,"1,994",70.94,"2,811",123,4.38,239,75.16,318
MN,2020-11-18,"8,121",76.35,"10,637","1,989",18.7,820,83.5,982
MO,2020-11-18,"11,569",66.14,"17,493","2,749",15.71,"1,560",77.77,"2,006"
MS,2020-11-18,"5,431",66.97,"8,110",892,11.0,683,80.64,847
MT,2020-11-18,"1,987",70.56,"2,816",482,17.12,173,76.55,226
ND,2020-11-18,"1,619",81.11,"1,996",474,23.75,137,95.8,143
NH,2020-11-18,"1,969",70.05,"2,811",126,4.48,173,61.35,282
NJ,2020-11-18,"14,780",76.36,"19,356","2,545",13.15,"1,512",66.64,"2,269"
NV,2020-11-18,"5,912",79.82,"7,407","1,306",18.05,737,83.28,885
NY,2020-11-18,"40,640",75.16,"54,069","3,709",6.86,"4,285",62.15,"6,895"
OK,2020-11-18,"7,252",70.37,"10,306","1,395",13.88,890,82.1,"1,084"
PA,2020-11-18,"24,844",77.01,"32,262","3,944",12.35,"3,205",82.72,"3,874"
SC,2020-11-18,"8,015",82.53,"9,712",783,8.06,993,78.87,"1,259"
TN,2020-11-18,"12,648",76.22,"16,593","2,135",13.26,"1,850",81.7,"2,264"
UT,2020-11-18,"3,140",60.1,"5,225",541,10.35,475,75.64,628
VA,2020-11-18,"11,913",69.54,"17,132","1,399",8.17,"1,385",68.23,"2,030"
AK,2020-11-19,911,63.66,"1,431",129,9.01,99,75.57,131
AR,2020-11-19,"5,503",65.87,"8,354",941,11.26,787,78.08,"1,008"
CO,2020-11-19,"6,979",69.48,"10,044","1,634",16.26,"1,009",75.02,"1,345"
DE,2020-11-19,"1,789",70.8,"2,527",221,8.75,148,85.06,174
FL,2020-11-19,"40,675",78.96,"51,517","4,085",8.09,"5,034",80.15,"6,280"
HI,2020-11-19,"1,718",68.11,"2,522",80,3.17,143,65.0,220
IA,2020-11-19,"5,305",66.83,"7,938","1,452",18.53,532,76.88,692
IL,2020-11-19,"20,839",70.26,"29,659","6,161",20.77,"2,533",67.16,"3,772"
KY,2020-11-19,"8,596",72.54,"11,850","1,573",13.27,"1,189",77.64,"1,531"
MA,2020-11-19,"12,260",70.26,"17,449",904,5.18,"1,012",52.57,"1,925"
ME,2020-11-19,"2,009",71.44,"2,812",122,4.32,236,74.61,317
MN,2020-11-19,"8,103",76.04,"10,656","1,990",18.68,800,81.1,987
MO,2020-11-19,"11,503",65.97,"17,436","2,767",15.87,"1,561",78.28,"1,994"
MS,2020-11-19,"5,393",66.62,"8,095",918,11.34,702,82.39,852
MT,2020-11-19,"1,998",69.67,"2,868",465,16.21,176,76.19,231
ND,2020-11-19,"1,574",79.41,"1,982",486,24.55,137,93.2,147
NH,2020-11-19,"1,909",68.92,"2,770",127,4.58,176,62.41,282
NJ,2020-11-19,"14,729",75.82,"19,425","2,571",13.24,"1,469",65.46,"2,244"
NV,2020-11-19,"5,856",78.9,"7,422","1,316",18.16,744,83.5,891
NY,2020-11-19,"40,270",74.62,"53,970","3,760",6.97,"4,231",61.54,"6,875"
OK,2020-11-19,"7,112",69.29,"10,265","1,408",14.07,894,82.4,"1,085"
PA,2020-11-19,"24,622",76.35,"32,248","4,096",12.83,"3,203",82.85,"3,866"
SC,2020-11-19,"7,850",81.31,"9,654",782,8.1,988,78.29,"1,262"
TN,2020-11-19,"12,548",75.77,"16,560","2,155",13.41,"1,817",80.79,"2,249"
UT,2020-11-19,"3,170",60.67,"5,225",580,11.1,482,76.75,628
VA,2020-11-19,"11,838",69.27,"17,090","1,387",8.12,"1,392",68.64,"2,028"
AK,2020-11-20,890,62.24,"1,430",125,8.74,86,67.72,127
AR,2020-11-20,"5,425",72.4,"7,493",953,12.72,798,80.28,994
