state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
KS,2020-11-29,"4,288",57.72,"7,429","1,178",15.86,583,74.94,778
LA,2020-11-29,"8,035",64.22,"12,511","1,086",8.84,"1,276",72.04,"1,772"
MD,2020-11-29,"7,924",78.85,"10,050","1,909",19.0,"1,009",77.08,"1,309"
MI,2020-11-29,"15,543",73.8,"21,062","4,153",19.72,"2,177",81.71,"2,664"
AL,2020-11-30,"10,131",72.15,"14,042","1,839",13.1,"1,295",87.8,"1,475"
AZ,2020-11-30,"9,558",71.56,"13,356","2,634",19.74,"1,283",64.18,"1,999"
CA,2020-11-30,"44,008",71.25,"61,764","8,997",14.57,"5,547",75.73,"7,324"
CT,2020-11-30,"5,851",71.62,"8,169","1,346",16.48,605,57.35,"1,055"
DC,2020-11-30,"2,247",78.79,"2,852",212,7.43,260,79.51,327
GA,2020-11-30,"14,439",76.63,"18,843","2,554",13.55,"2,188",83.19,"2,630"
ID,2020-11-30,"1,801",58.32,"3,088",456,14.77,219,77.39,283
IN,2020-11-30,"10,748",65.1,"16,512","3,440",20.83,"1,656",76.71,"2,158"
KS,2020-11-30,"4,363",58.53,"7,455","1,224",16.41,625,79.42,787
LA,2020-11-30,"8,138",65.16,"12,489","1,146",9.35,"1,283",73.08,"1,756"
MD,2020-11-30,"8,080",80.17,"10,079","1,982",19.67,"1,015",77.48,"1,310"
MI,2020-11-30,"16,342",76.04,"21,491","4,409",20.52,"2,171",81.52,"2,663"
AL,2020-12-01,"10,720",76.0,"14,105","1,884",13.35,"1,298",87.64,"1,481"
AZ,2020-12-01,"10,236",74.97,"13,654","2,738",20.07,"1,395",70.35,"1,983"
CA,2020-12-01,"46,296",73.7,"62,817","9,276",14.77,"5,817",79.19,"7,346"
CT,2020-12-01,"6,189",75.37,"8,212","1,403",17.08,564,51.27,"1,100"
DC,2020-12-01,"2,336",81.45,"2,868",229,7.98,272,82.42,330
GA,2020-12-01,"15,460",81.59,"18,950","2,604",13.74,"2,282",86.91,"2,625"
ID,2020-12-01,"1,864",60.16,"3,099",485,15.65,217,76.68,283
IN,2020-12-01,"11,512",69.35,"16,599","3,421",20.61,"1,739",79.77,"2,180"
KS,2020-12-01,"4,743",61.07,"7,767","1,226",15.79,665,82.61,805
LA,2020-12-01,"8,733",69.13,"12,633","1,170",9.43,"1,312",74.8,"1,754"
MD,2020-12-01,"8,340",81.16,"10,276","1,960",19.07,988,73.29,"1,348"
MI,2020-12-01,"17,098",79.1,"21,615","4,379",20.26,"2,218",83.34,"2,662"
AL,2020-12-02,"11,036",77.89,"14,168","1,896",13.38,"1,312",88.53,"1,482"
AZ,2020-12-02,"10,618",76.93,"13,803","2,840",20.6,"1,390",69.91,"1,989"
CA,2020-12-02,"47,713",75.89,"62,870","9,582",15.24,"5,868",79.63,"7,369"
CT,2020-12-02,"6,301",77.19,"8,163","1,355",16.6,615,55.91,"1,100"
DC,2020-12-02,"2,411",82.4,"2,926",232,7.93,280,82.84,338
GA,2020-12-02,"15,765",83.07,"18,977","2,640",13.91,"2,286",86.76,"2,635"
ID,2020-12-02,"1,906",61.17,"3,115",460,14.77,225,79.51,283
IN,2020-12-02,"11,680",70.33,"16,608","3,337",20.09,"1,728",79.34,"2,178"
KS,2020-12-02,"4,774",63.6,"7,507","1,236",16.47,652,80.89,806
LA,2020-12-02,"8,836",69.91,"12,640","1,174",9.46,"1,307",73.63,"1,775"
MD,2020-12-02,"8,428",83.26,"10,122","1,990",19.66,"1,015",76.49,"1,327"
MI,2020-12-02,"17,454",80.85,"21,588","4,334",20.08,"2,247",83.25,"2,699"
AL,2020-12-03,"11,071",78.57,"14,090","1,906",13.53,"1,331",90.05,"1,478"
AZ,2020-12-03,"10,653",77.46,"13,754","2,915",21.22,"1,405",71.03,"1,978"
CA,2020-12-03,"48,217",76.14,"63,328","9,880",15.6,"5,966",79.76,"7,479"
CT,2020-12-03,"6,333",77.57,"8,164","1,324",16.22,622,56.24,"1,106"
DC,2020-12-03,"2,459",82.93,"2,965",255,8.6,279,82.3,339
GA,2020-12-03,"15,842",83.17,"19,049","2,674",14.03,"2,316",87.3,"2,653"
ID,2020-12-03,"1,876",60.21,"3,116",444,14.25,234,79.59,294
IN,2020-12-03,"11,666",70.49,"16,551","3,244",19.6,"1,733",79.53,"2,179"
KS,2020-12-03,"4,927",62.1,"7,934","1,186",14.95,684,84.55,809
LA,2020-12-03,"8,896",70.21,"12,671","1,217",9.78,"1,323",74.03,"1,787"
