FIPS,Province_State,Admin2,Confirmed,Deaths,Daily_Confirmed,Daily_Deaths
1001.0,Alabama,Autauga,24,1,1.0,0.0
1003.0,Alabama,Baldwin,100,2,7.0,0.0
1005.0,Alabama,Barbour,13,0,2.0,0.0
1007.0,Alabama,Bibb,19,0,1.0,0.0
1009.0,Alabama,Blount,21,0,2.0,0.0
1011.0,Alabama,Bullock,8,0,0.0,0.0
1013.0,Alabama,Butler,11,0,3.0,0.0
1015.0,Alabama,Calhoun,66,0,1.0,0.0
1017.0,Alabama,Chambers,229,10,10.0,0.0
1019.0,Alabama,Cherokee,10,0,1.0,0.0
1021.0,Alabama,Chilton,38,0,3.0,0.0
1023.0,Alabama,Choctaw,15,0,1.0,0.0
1025.0,Alabama,Clarke,19,0,1.0,0.0
1027.0,Alabama,Clay,14,0,0.0,0.0
1029.0,Alabama,Cleburne,12,0,0.0,0.0
1031.0,Alabama,Coffee,44,0,7.0,0.0
1033.0,Alabama,Colbert,16,1,1.0,0.0
1035.0,Alabama,Conecuh,7,0,2.0,0.0
1037.0,Alabama,Coosa,20,1,1.0,0.0
1039.0,Alabama,Covington,20,0,2.0,0.0
1041.0,Alabama,Crenshaw,5,0,1.0,0.0
1043.0,Alabama,Cullman,42,1,1.0,0.0
1045.0,Alabama,Dale,13,0,0.0,0.0
1047.0,Alabama,Dallas,16,2,1.0,2.0
1049.0,Alabama,DeKalb,33,0,2.0,0.0
1051.0,Alabama,Elmore,48,0,6.0,0.0
1053.0,Alabama,Escambia,11,0,2.0,0.0
1055.0,Alabama,Etowah,84,7,6.0,0.0
1057.0,Alabama,Fayette,6,0,0.0,0.0
1059.0,Alabama,Franklin,20,1,4.0,0.0
1061.0,Alabama,Geneva,2,0,0.0,0.0
1063.0,Alabama,Greene,18,0,1.0,0.0
1065.0,Alabama,Hale,22,0,5.0,0.0
1067.0,Alabama,Henry,16,0,1.0,0.0
1069.0,Alabama,Houston,62,2,5.0,0.0
1071.0,Alabama,Jackson,31,2,2.0,0.0
1073.0,Alabama,Jefferson,643,17,15.0,1.0
1075.0,Alabama,Lamar,6,0,0.0,0.0
1077.0,Alabama,Lauderdale,22,4,0.0,0.0
1079.0,Alabama,Lawrence,10,0,0.0,0.0
1081.0,Alabama,Lee,289,12,19.0,1.0
1083.0,Alabama,Limestone,38,0,1.0,0.0
1085.0,Alabama,Lowndes,23,0,5.0,0.0
1087.0,Alabama,Macon,18,2,0.0,0.0
1089.0,Alabama,Madison,203,3,2.0,0.0
1091.0,Alabama,Marengo,22,1,1.0,0.0
1093.0,Alabama,Marion,61,4,0.0,0.0
1095.0,Alabama,Marshall,111,2,3.0,0.0
1097.0,Alabama,Mobile,549,17,52.0,0.0
1099.0,Alabama,Monroe,8,1,0.0,0.0
1101.0,Alabama,Montgomery,190,5,25.0,0.0
1103.0,Alabama,Morgan,42,0,0.0,0.0
80001.0,Alabama,Out of AL,0,0,0.0,0.0
1105.0,Alabama,Perry,7,0,0.0,0.0
1107.0,Alabama,Pickens,28,0,4.0,0.0
1109.0,Alabama,Pike,25,0,4.0,0.0
1111.0,Alabama,Randolph,47,4,0.0,0.0
1113.0,Alabama,Russell,31,0,1.0,0.0
1117.0,Alabama,Shelby,250,7,4.0,0.0
1115.0,Alabama,St. Clair,55,0,2.0,0.0
